experiment,model,arm,dataset,n,visual_requests,collected,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger,collection_rate
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aiops2022,100,100,100,0.78924661,0.50721994,0.63098764,1,,0.29545129,,0.70454871,,,1,,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aiops2025,93,93,93,0.78969048,0.48500794,0.65244585,1,,0.30561348,,0.69438652,,,1,,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,re2_ob,90,90,90,0.79169243,0.51036238,0.62416859,1,,0.31693092,,0.68306908,,,1,,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,re2_tt,90,90,90,0.79256184,0.50437136,0.62381985,1,,0.31669315,,0.68330685,,,1,,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,aegislab,96,96,96,0.77103746,0.52833935,0.50198287,1,,0.64108529,0.35891471,,,,1,1,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,aiops2022,100,100,100,0.7779709,0.54246447,0.50916176,1,,0.61419489,0.38580511,,,,1,1,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,aiops2025,93,93,93,0.77373914,0.53664639,0.53285766,1,,0.61802119,0.38197881,,,,1,1,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,re2_ob,90,90,90,0.78644747,0.56216605,0.50747797,1,,0.57866038,0.42133962,,,,1,1,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,re2_tt,90,90,90,0.78235254,0.56338574,0.52360516,1,,0.64641491,0.35358509,,,,1,1,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,aegislab,96,96,96,0.78564453,0.51519006,0.57513473,1,,0.26263491,0.14100339,0.5963617,,,1,1,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,aiops2022,100,100,100,0.78936914,0.5098886,0.61660815,1,,0.25919143,0.15890961,0.58189896,,,1,1,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,aiops2025,93,93,93,0.79049417,0.48681015,0.64706778,1,,0.27217452,0.17118102,0.55664447,,,1,1,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,re2_ob,90,90,90,0.79289835,0.50041307,0.61360544,1,,0.26194019,0.19314921,0.5449106,,,1,1,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,re2_tt,90,90,90,0.7935404,0.50714429,0.61681312,1,,0.28857658,0.15414205,0.55728138,,,1,1,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,aegislab,96,96,96,0.77340738,0.29697041,0.90384615,1,1,,,,,1,,,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,aiops2022,100,100,100,0.78246111,0.27864562,0.90384615,1,1,,,,,1,,,,,1
