experiment,model,arm,dataset,fault_type,n,ac1,ac3,ac5,mrr,unknown_ids
direct_rca,gemma-4-26b-a4b,P,aegislab,JVMException,3,0.33333333,0.33333333,0.33333333,0.33333333,0
direct_rca,gemma-4-26b-a4b,P,aegislab,JVMLatency,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,JVMMemoryStress,14,0.28571429,0.28571429,0.28571429,0.28571429,0
direct_rca,gemma-4-26b-a4b,P,aegislab,JVMReturn,2,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,P,aegislab,NetworkBandwidth,2,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,P,aegislab,NetworkCorrupt,2,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,NetworkDelay,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,NetworkLoss,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,NetworkPartition,6,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,PodFailure,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,PodKill,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器cpu负载,9,0.22222222,0.33333333,0.33333333,0.25925926,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器内存负载,8,0.375,0.375,0.375,0.375,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器写io负载,4,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器网络丢包,9,0.33333333,0.44444444,0.66666667,0.42037037,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器网络延迟,10,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器网络资源包损坏,10,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器网络资源包重复发送,7,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器读io负载,9,0.33333333,0.33333333,0.33333333,0.33333333,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,k8s容器进程中止,5,0.2,0.2,0.2,0.2,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,node 内存消耗,5,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,node 磁盘写IO消耗,6,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,node 磁盘空间消耗,5,0.8,0.8,0.8,0.8,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,node 磁盘读IO消耗,5,0.2,0.2,0.2,0.2,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,node节点CPU故障,5,0.2,0.2,0.2,0.2,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,node节点CPU爬升,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,code error,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,cpu stress,8,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,dns error,5,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,io fault,5,0.4,0.4,0.4,0.4,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,jvm cpu,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,jvm exception,3,0.33333333,0.33333333,0.33333333,0.33333333,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,jvm gc,2,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,jvm latency,5,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,memory stress,6,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,network corrupt,6,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,network delay,7,0.14285714,0.14285714,0.14285714,0.14285714,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,network loss,5,0.4,0.4,0.4,0.4,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,node cpu stress,6,0.16666667,0.16666667,0.16666667,0.16666667,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,node disk fill,4,0,0.25,0.25,0.125,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,node memory stress,12,0.25,0.25,0.25,0.25,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,pod failure,10,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,pod kill,2,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,target port misconfig,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,re2_ob,cpu,15,0.53333333,0.6,0.6,0.55555556,0
direct_rca,gemma-4-26b-a4b,P,re2_ob,delay,15,0.4,0.4,0.4,0.4,0
direct_rca,gemma-4-26b-a4b,P,re2_ob,disk,15,0.6,0.6,0.6,0.6,0
direct_rca,gemma-4-26b-a4b,P,re2_ob,loss,15,0.26666667,0.26666667,0.26666667,0.26666667,0
direct_rca,gemma-4-26b-a4b,P,re2_ob,mem,15,0.66666667,0.66666667,0.66666667,0.66666667,0
direct_rca,gemma-4-26b-a4b,P,re2_ob,socket,15,0.8,0.8,0.8,0.8,0
direct_rca,gemma-4-26b-a4b,P,re2_tt,cpu,15,0.33333333,0.33333333,0.33333333,0.33333333,0
direct_rca,gemma-4-26b-a4b,P,re2_tt,delay,15,0.26666667,0.26666667,0.26666667,0.26666667,0
direct_rca,gemma-4-26b-a4b,P,re2_tt,disk,15,0.46666667,0.46666667,0.46666667,0.46666667,0
direct_rca,gemma-4-26b-a4b,P,re2_tt,loss,15,0.13333333,0.13333333,0.13333333,0.13333333,0
direct_rca,gemma-4-26b-a4b,P,re2_tt,mem,15,0.6,0.6,0.6,0.6,0
direct_rca,gemma-4-26b-a4b,P,re2_tt,socket,15,0.2,0.2,0.2,0.2,0
direct_rca,gemma-4-26b-a4b,R,aegislab,ContainerKill,6,0.66666667,0.83333333,0.83333333,0.75,0
direct_rca,gemma-4-26b-a4b,R,aegislab,HTTPRequestAbort,6,0.33333333,0.33333333,0.33333333,0.33333333,0
direct_rca,gemma-4-26b-a4b,R,aegislab,HTTPRequestDelay,7,0.14285714,0.14285714,0.14285714,0.14285714,0
direct_rca,gemma-4-26b-a4b,R,aegislab,HTTPRequestReplaceMethod,15,0.4,0.6,0.66666667,0.49111111,0
direct_rca,gemma-4-26b-a4b,R,aegislab,HTTPRequestReplacePath,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aegislab,HTTPResponseAbort,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aegislab,HTTPResponseDelay,7,0.28571429,0.42857143,0.42857143,0.33333333,0
direct_rca,gemma-4-26b-a4b,R,aegislab,HTTPResponseReplaceBody,2,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aegislab,HTTPResponseReplaceCode,13,0.23076923,0.30769231,0.30769231,0.26923077,0
direct_rca,gemma-4-26b-a4b,R,aegislab,JVMException,3,0.33333333,1,1,0.61111111,0
direct_rca,gemma-4-26b-a4b,R,aegislab,JVMLatency,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,R,aegislab,JVMMemoryStress,14,0.92857143,1,1,0.96428571,0
direct_rca,gemma-4-26b-a4b,R,aegislab,JVMReturn,2,0.5,1,1,0.66666667,0
direct_rca,gemma-4-26b-a4b,R,aegislab,NetworkBandwidth,2,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,R,aegislab,NetworkCorrupt,2,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aegislab,NetworkDelay,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aegislab,NetworkLoss,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aegislab,NetworkPartition,6,0.33333333,0.33333333,0.33333333,0.33333333,0
direct_rca,gemma-4-26b-a4b,R,aegislab,PodFailure,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,R,aegislab,PodKill,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器cpu负载,9,0.44444444,0.55555556,0.55555556,0.5,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器内存负载,8,0.25,0.375,0.375,0.29166667,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器写io负载,4,0.25,0.5,0.5,0.33333333,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器网络丢包,9,0.11111111,0.44444444,0.44444444,0.24074074,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器网络延迟,10,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器网络资源包损坏,10,0.3,0.4,0.4,0.35,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器网络资源包重复发送,7,0,0.28571429,0.28571429,0.11904762,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器读io负载,9,0.33333333,0.33333333,0.44444444,0.36111111,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,k8s容器进程中止,5,0.2,0.6,0.6,0.36666667,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,node 内存消耗,5,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,node 磁盘写IO消耗,6,0.16666667,0.33333333,0.33333333,0.25,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,node 磁盘空间消耗,5,0.8,0.8,0.8,0.8,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,node 磁盘读IO消耗,5,0.2,0.2,0.2,0.2,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,node节点CPU故障,5,0.2,0.2,0.4,0.25,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,node节点CPU爬升,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,code error,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,cpu stress,8,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,dns error,5,0,0,0.2,0.05,0
