experiment,model,arm,dataset,top1_outcome,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
direct_rca,qwen3.8-27b,H,aiops2025,incorrect,79,0.86414623,0.096630577,0.9600779,,0.66522462,0.027844688,0.024747861,0.28218283,,1.0136756,0.59402001,0.52795438,1.1287313,
direct_rca,qwen3.8-27b,H,re2_ob,correct,39,0.86406427,0.084142793,0.95956607,,0.66844371,0.028479701,0.024796492,0.2782801,,1.0185809,0.60756696,0.52899182,1.1131204,
direct_rca,qwen3.8-27b,H,re2_ob,incorrect,51,0.86316481,0.090090139,0.96153846,,0.66404489,0.029413387,0.025443028,0.28109869,,1.0118779,0.62748559,0.5427846,1.1243948,
direct_rca,qwen3.8-27b,H,re2_tt,correct,37,0.86498911,0.084085766,0.96153846,,0.66013894,0.035530197,0.027722803,0.27660806,,1.0100315,0.75797753,0.59141981,1.0966407,
direct_rca,qwen3.8-27b,H,re2_tt,incorrect,53,0.86408045,0.087162379,0.95573295,,0.65234284,0.034285468,0.028411853,0.28495984,,1.0159873,0.74876623,0.60890294,1.0868656,
direct_rca,qwen3.8-27b,P,aegislab,correct,27,0.74485284,0.093434761,0.96272223,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,aegislab,incorrect,69,0.74443956,0.091245097,0.96246366,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,aiops2022,correct,7,0.74659208,0.1052405,0.95743676,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,aiops2022,incorrect,93,0.74383334,0.10726939,0.95654583,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,aiops2025,correct,16,0.74895743,0.10003133,0.96543162,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,aiops2025,incorrect,77,0.75011415,0.10221324,0.96223352,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,re2_ob,correct,23,0.74660381,0.10408248,0.95583032,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,re2_ob,incorrect,67,0.74712475,0.10752997,0.95629884,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,re2_tt,correct,19,0.73374567,0.092417274,0.96349019,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,P,re2_tt,incorrect,71,0.73340883,0.090955316,0.96258198,,,,,,1,,,,,1
direct_rca,qwen3.8-27b,R,aegislab,correct,32,0.85538953,0.10749356,0.95793269,,0.66236783,0.02987313,0.037242033,0.27051701,,1.0433873,0.64170331,0.7944967,1.0074733,
direct_rca,qwen3.8-27b,R,aegislab,incorrect,64,0.85344047,0.11512827,0.95192308,,0.66192021,0.026850943,0.035987384,0.27524147,,1.0391973,0.5860369,0.76773086,1.0334826,
direct_rca,qwen3.8-27b,R,aiops2022,correct,14,0.86170589,0.10720851,0.9478022,,0.67516126,0.023847462,0.034716889,0.26627439,,1.0288172,0.50874586,0.74062696,1.0650975,
