experiment,model,arm,dataset,n,supported,unsupported,binding_rate
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gt,re2_tt,90,447,85,0.84022556
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gv,aegislab,96,449,65,0.87354086
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gv,aiops2022,100,317,29,0.91618497
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gv,aiops2025,93,345,36,0.90551181
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gv,re2_ob,90,464,76,0.85925926
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gv,re2_tt,90,452,80,0.84962406
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gt,aegislab,96,453,61,0.88132296
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gt,aiops2022,100,294,52,0.84971098
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gt,aiops2025,93,328,53,0.86089239
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gt,re2_ob,90,466,74,0.86296296
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gt,re2_tt,90,434,98,0.81578947
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gv,aegislab,96,444,70,0.86381323
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gv,aiops2022,100,280,66,0.80924855
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gv,aiops2025,93,328,53,0.86089239
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gv,re2_ob,90,436,104,0.80740741
typed_two_stage,qwen3.6-27b,Mt-Rv-Lt-Gv,re2_tt,90,439,93,0.82518797
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gt,aegislab,96,430,84,0.83657588
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gt,aiops2022,100,265,81,0.76589595
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gt,aiops2025,93,299,82,0.7847769
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gt,re2_ob,90,432,108,0.8
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gt,re2_tt,90,390,142,0.73308271
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gv,aegislab,96,422,92,0.82101167
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gv,aiops2022,100,261,85,0.75433526
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gv,aiops2025,93,316,65,0.82939633
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gv,re2_ob,90,432,108,0.8
typed_two_stage,qwen3.6-27b,Mt-Rv-Lv-Gv,re2_tt,90,418,114,0.78571429
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gt,aegislab,96,456,58,0.88715953
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gt,aiops2022,100,309,37,0.89306358
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gt,aiops2025,93,357,24,0.93700787
