experiment,model,arm,dataset,root_service,n,ac1,mrr
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-station-food-service,1,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-station-service,1,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-train-service,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-travel-plan-service,3,1,1
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-travel-service,3,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-travel2-service,2,1,1
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-user-service,1,1,1
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-verification-code-service,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,adservice,2,0,0.1
direct_rca,gemma-4-26b-a4b,P,aiops2022,adservice-0,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,adservice-1,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,P,aiops2022,adservice2-0,1,1,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,cartservice,5,0.4,0.4
direct_rca,gemma-4-26b-a4b,P,aiops2022,cartservice-0,2,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,cartservice2-0,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,checkoutservice,4,0.75,0.75
direct_rca,gemma-4-26b-a4b,P,aiops2022,checkoutservice-0,2,1,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,checkoutservice-1,2,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,currencyservice,2,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,currencyservice-0,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,currencyservice-1,2,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,currencyservice-2,2,0,0.16666667
direct_rca,gemma-4-26b-a4b,P,aiops2022,emailservice,4,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,emailservice-1,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,P,aiops2022,frontend,3,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,frontend-0,1,1,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,frontend-1,1,1,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,frontend-2,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,frontend2-0,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,node-1,3,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,node-2,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,P,aiops2022,node-3,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,P,aiops2022,node-4,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,P,aiops2022,node-5,8,0.25,0.25
direct_rca,gemma-4-26b-a4b,P,aiops2022,node-6,7,0.57142857,0.57142857
direct_rca,gemma-4-26b-a4b,P,aiops2022,paymentservice,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,productcatalogservice,4,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,productcatalogservice-0,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,P,aiops2022,productcatalogservice-1,3,0,0.083333333
direct_rca,gemma-4-26b-a4b,P,aiops2022,productcatalogservice-2,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,P,aiops2022,productcatalogservice2-0,1,1,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,recommendationservice,4,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,recommendationservice-2,1,0,0.33333333
direct_rca,gemma-4-26b-a4b,P,aiops2022,recommendationservice2-0,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,shippingservice,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,P,aiops2022,shippingservice-0,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,shippingservice-1,2,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2022,shippingservice2-0,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,adservice,14,0.14285714,0.14285714
direct_rca,gemma-4-26b-a4b,P,aiops2025,cartservice,7,0.14285714,0.14285714
direct_rca,gemma-4-26b-a4b,P,aiops2025,checkoutservice,17,0.11764706,0.11764706
direct_rca,gemma-4-26b-a4b,P,aiops2025,currencyservice,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,P,aiops2025,emailservice,2,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,frontend,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,P,aiops2025,node-1,3,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,node-3,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,P,aiops2025,node-4,1,1,1
direct_rca,gemma-4-26b-a4b,P,aiops2025,node-5,4,0,0.125
direct_rca,gemma-4-26b-a4b,P,aiops2025,node-6,5,0.2,0.2
direct_rca,gemma-4-26b-a4b,P,aiops2025,node-7,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,P,aiops2025,node-8,4,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,paymentservice,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,productcatalogservice,4,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,recommendationservice,1,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,shippingservice,6,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,tidb-tidb,2,0,0
direct_rca,gemma-4-26b-a4b,P,aiops2025,tidb-tikv,10,0.2,0.2
direct_rca,gemma-4-26b-a4b,P,re2_ob,checkoutservice,18,0.72222222,0.74074074
direct_rca,gemma-4-26b-a4b,P,re2_ob,currencyservice,18,0.38888889,0.38888889
direct_rca,gemma-4-26b-a4b,P,re2_ob,emailservice,18,0.72222222,0.72222222
direct_rca,gemma-4-26b-a4b,P,re2_ob,productcatalogservice,18,0.055555556,0.055555556
direct_rca,gemma-4-26b-a4b,P,re2_ob,recommendationservice,18,0.83333333,0.83333333
