experiment,model,arm,dataset,n,overall,level1,level2,level3,query_id_valid,step_accuracy
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,aiops2022,100,0.76166667,0.88,0.6875,0.38888889,1,0.82
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,aiops2025,93,0.85125448,0.92473118,0.79487179,0.70454545,1,0.89247312
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,re2_ob,90,0.62592593,0.86666667,0.52222222,0.48888889,1,0.71851852
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,re2_tt,90,0.59444444,0.67777778,0.49438202,0.60227273,1,0.73148148
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,aegislab,96,0.47048611,0.71875,0.30526316,0.35526316,1,0.64930556
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,aiops2022,100,0.75166667,0.87,0.67708333,0.5,1,0.80166667
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,aiops2025,93,0.8046595,0.87096774,0.75641026,0.61363636,1,0.87096774
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,re2_ob,90,0.57037037,0.72222222,0.52222222,0.46666667,1,0.7
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,re2_tt,90,0.5537037,0.5,0.49438202,0.65909091,1,0.72777778
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,aegislab,96,0.55729167,0.97916667,0.31578947,0.32894737,1,0.59548611
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,aiops2022,100,0.72333333,0.98,0.54166667,0.055555556,1,0.71333333
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,aiops2025,93,0.84408602,0.97849462,0.87179487,0.31818182,1,0.84946237
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,re2_ob,90,0.56666667,1,0.46666667,0.23333333,1,0.57777778
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,re2_tt,90,0.64259259,1,0.50561798,0.40909091,1,0.68518519
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,aegislab,96,0.53125,0.9375,0.28421053,0.32894737,1,0.59027778
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,aiops2022,100,0.7,0.93,0.54166667,0.11111111,1,0.70166667
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,aiops2025,93,0.81362007,0.92473118,0.85897436,0.34090909,1,0.81899642
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,re2_ob,90,0.49259259,0.81111111,0.46666667,0.2,1,0.56111111
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,re2_tt,90,0.52407407,0.71111111,0.49438202,0.35227273,1,0.61851852
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,aegislab,96,0.49652778,0.8125,0.31578947,0.31578947,1,0.55729167
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,aiops2022,100,0.82166667,0.94,0.77083333,0.33333333,1,0.86166667
