experiment,model,arm,dataset_scope,n,case_n,complete_chain_accuracy,correct_prefix_accuracy,step_accuracy,query_membership_valid,level_1_complete_chain_accuracy,level_2_complete_chain_accuracy,level_3_complete_chain_accuracy,ac@1,ac@3,ac@5,avg@3,avg@5,mrr
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,aegislab,96,96,0.44791667,0.56134259,0.51736111,1,0.75,0.27368421,0.27631579,,,,,,
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,aegislab,96,96,0.578125,0.74710648,0.70833333,1,0.94791667,0.35789474,0.40789474,,,,,,
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,aegislab,96,96,0.546875,0.72858796,0.69270833,1,0.89583333,0.34736842,0.35526316,,,,,,
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,aegislab,96,96,0.5,0.6791088,0.66319444,1,0.76041667,0.33684211,0.38157895,,,,,,
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,aegislab,96,96,0.45138889,0.63599537,0.63020833,1,0.6875,0.28421053,0.36842105,,,,,,
cross_region,qwen3.6-27b,P,aegislab,96,96,0.53298611,0.60763889,0.52430556,1,0.92708333,0.30526316,0.31578947,,,,,,
cross_region,qwen3.6-27b,V,aegislab,96,96,0.40277778,0.58564815,0.56770833,1,0.66666667,0.28421053,0.22368421,,,,,,
cross_region,qwen3.6-27b,H,aiops2022,100,100,0.82,0.87027778,0.84,1,0.99,0.71875,0.22222222,,,,,,
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,aiops2022,100,100,0.71833333,0.76638889,0.71166667,1,0.98,0.51041667,0.16666667,,,,,,
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aiops2022,100,100,0.70333333,0.7525,0.71166667,1,0.91,0.55208333,0.22222222,,,,,,
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aiops2022,100,100,0.81166667,0.87138889,0.855,1,0.94,0.76041667,0.22222222,,,,,,
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aiops2022,100,100,0.79,0.84472222,0.84,1,0.87,0.76041667,0.38888889,,,,,,
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aiops2022,100,100,0.745,0.79333333,0.75833333,1,0.94,0.5625,0.5,,,,,,
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aiops2022,100,100,0.725,0.77472222,0.72833333,1,0.93,0.5625,0.38888889,,,,,,
